customer_id,tenure_months,monthly_fee,total_usage_gb,support_calls,has_contract,churned
1,2,55.0,40.0,5,0,1
2,3,58.0,45.0,4,0,1
3,1,52.0,35.0,6,0,1
4,4,60.0,50.0,3,0,1
5,5,62.0,55.0,2,0,0
6,6,64.0,60.0,3,0,1
7,7,66.0,65.0,2,0,0
8,3,57.0,42.0,4,0,1
9,8,68.0,70.0,1,0,0
10,2,54.0,38.0,5,0,1
11,4,59.0,48.0,3,0,1
12,6,63.0,58.0,2,0,0
13,1,51.0,30.0,6,0,1
14,5,61.0,54.0,3,0,0
15,3,56.0,44.0,4,0,1
16,12,70.0,110.0,1,1,0
17,18,75.0,140.0,0,1,0
18,24,80.0,160.0,0,1,0
19,36,85.0,180.0,0,1,0
20,48,90.0,200.0,0,1,0
21,10,68.0,95.0,1,1,0
22,14,72.0,105.0,1,1,0
23,20,78.0,150.0,0,1,0
24,30,82.0,170.0,0,1,0
25,8,66.0,85.0,2,1,1
26,16,74.0,120.0,0,1,0
27,22,79.0,155.0,0,1,0
28,28,83.0,175.0,0,1,0
29,6,65.0,75.0,2,1,1
30,12,70.0,100.0,1,1,0
